carbonDioxide	humidity	light	localityId	measurementDateTime	occupancy	temperature	watts
NULL	NULL	NULL	6	2012-06-14 16:00:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:01:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:02:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:03:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:04:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:05:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:06:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:07:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:08:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:09:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:10:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:11:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:12:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:13:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:14:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:15:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:16:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:17:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:18:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:19:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:20:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:21:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:22:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:23:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:24:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:25:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:26:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:27:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:28:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:29:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:30:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:31:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:32:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:33:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:34:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:35:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:36:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:37:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:38:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:39:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:40:00	18	NULL	2400
NULL	NULL	NULL	6	2012-06-14 16:41:00	18	NULL	2400
